"Source"	"Target"	"Similarity"
Mol.1	Mol.1	      1.00
Mol.1	Mol.2	      1.00
Mol.1	Mol.3	      1.00
Mol.1	Mol.4	      0.67
Mol.1	Mol.5	      0.07
Mol.1	Mol.6	      0.04
Mol.1	Mol.7	      0.04
Mol.1	Mol.8	      0.07
Mol.1	Mol.9	      0.07
Mol.1	Mol.10	      0.35
Mol.1	Mol.11	      0.25
Mol.2	Mol.1	      1.00
Mol.2	Mol.2	      1.00
Mol.2	Mol.3	      1.00
Mol.2	Mol.4	      0.67
Mol.2	Mol.5	      0.07
Mol.2	Mol.6	      0.04
Mol.2	Mol.7	      0.04
Mol.2	Mol.8	      0.07
Mol.2	Mol.9	      0.07
Mol.2	Mol.10	      0.35
Mol.2	Mol.11	      0.25
Mol.3	Mol.1	      1.00
Mol.3	Mol.2	      1.00
Mol.3	Mol.3	      1.00
Mol.3	Mol.4	      0.67
Mol.3	Mol.5	      0.07
Mol.3	Mol.6	      0.04
Mol.3	Mol.7	      0.04
Mol.3	Mol.8	      0.07
Mol.3	Mol.9	      0.07
Mol.3	Mol.10	      0.35
Mol.3	Mol.11	      0.25
Mol.4	Mol.1	      0.67
Mol.4	Mol.2	      0.67
Mol.4	Mol.3	      0.67
Mol.4	Mol.4	      1.00
Mol.4	Mol.5	      0.09
Mol.4	Mol.6	      0.05
Mol.4	Mol.7	      0.05
Mol.4	Mol.8	      0.09
Mol.4	Mol.9	      0.09
Mol.4	Mol.10	      0.43
Mol.4	Mol.11	      0.29
Mol.5	Mol.1	      0.07
Mol.5	Mol.2	      0.07
Mol.5	Mol.3	      0.07
Mol.5	Mol.4	      0.09
Mol.5	Mol.5	      1.00
Mol.5	Mol.6	      0.40
Mol.5	Mol.7	      0.22
Mol.5	Mol.8	      1.00
Mol.5	Mol.9	      1.00
Mol.5	Mol.10	      0.11
Mol.5	Mol.11	      0.08
Mol.6	Mol.1	      0.04
Mol.6	Mol.2	      0.04
Mol.6	Mol.3	      0.04
Mol.6	Mol.4	      0.05
Mol.6	Mol.5	      0.40
Mol.6	Mol.6	      1.00
Mol.6	Mol.7	      0.55
Mol.6	Mol.8	      0.40
Mol.6	Mol.9	      0.40
Mol.6	Mol.10	      0.07
Mol.6	Mol.11	      0.06
Mol.7	Mol.1	      0.04
Mol.7	Mol.2	      0.04
Mol.7	Mol.3	      0.04
Mol.7	Mol.4	      0.05
Mol.7	Mol.5	      0.22
Mol.7	Mol.6	      0.55
Mol.7	Mol.7	      1.00
Mol.7	Mol.8	      0.22
Mol.7	Mol.9	      0.22
Mol.7	Mol.10	      0.07
Mol.7	Mol.11	      0.06
Mol.8	Mol.1	      0.07
Mol.8	Mol.2	      0.07
Mol.8	Mol.3	      0.07
Mol.8	Mol.4	      0.09
Mol.8	Mol.5	      1.00
Mol.8	Mol.6	      0.40
Mol.8	Mol.7	      0.22
Mol.8	Mol.8	      1.00
Mol.8	Mol.9	      1.00
Mol.8	Mol.10	      0.11
Mol.8	Mol.11	      0.08
Mol.9	Mol.1	      0.07
Mol.9	Mol.2	      0.07
Mol.9	Mol.3	      0.07
Mol.9	Mol.4	      0.09
Mol.9	Mol.5	      1.00
Mol.9	Mol.6	      0.40
Mol.9	Mol.7	      0.22
Mol.9	Mol.8	      1.00
Mol.9	Mol.9	      1.00
Mol.9	Mol.10	      0.11
Mol.9	Mol.11	      0.08
Mol.10	Mol.1	      0.35
Mol.10	Mol.2	      0.35
Mol.10	Mol.3	      0.35
Mol.10	Mol.4	      0.43
Mol.10	Mol.5	      0.11
Mol.10	Mol.6	      0.07
Mol.10	Mol.7	      0.07
Mol.10	Mol.8	      0.11
Mol.10	Mol.9	      0.11
Mol.10	Mol.10	      1.00
Mol.10	Mol.11	      0.52
Mol.11	Mol.1	      0.25
Mol.11	Mol.2	      0.25
Mol.11	Mol.3	      0.25
Mol.11	Mol.4	      0.29
Mol.11	Mol.5	      0.08
Mol.11	Mol.6	      0.06
Mol.11	Mol.7	      0.06
Mol.11	Mol.8	      0.08
Mol.11	Mol.9	      0.08
Mol.11	Mol.10	      0.52
Mol.11	Mol.11	      1.00
