"Source"	"Target"	"Similarity"
Mol.1	Mol.1	      1.00
Mol.1	Mol.2	      0.80
Mol.1	Mol.3	      0.73
Mol.1	Mol.4	      0.47
Mol.1	Mol.5	      0.42
Mol.1	Mol.6	      0.29
Mol.1	Mol.7	      0.29
Mol.1	Mol.8	      0.11
Mol.1	Mol.9	      0.11
Mol.1	Mol.10	      0.30
Mol.1	Mol.11	      0.23
Mol.2	Mol.1	      0.80
Mol.2	Mol.2	      1.00
Mol.2	Mol.3	      0.92
Mol.2	Mol.4	      0.58
Mol.2	Mol.5	      0.41
Mol.2	Mol.6	      0.27
Mol.2	Mol.7	      0.27
Mol.2	Mol.8	      0.06
Mol.2	Mol.9	      0.06
Mol.2	Mol.10	      0.35
Mol.2	Mol.11	      0.26
Mol.3	Mol.1	      0.73
Mol.3	Mol.2	      0.92
Mol.3	Mol.3	      1.00
Mol.3	Mol.4	      0.64
Mol.3	Mol.5	      0.44
Mol.3	Mol.6	      0.28
Mol.3	Mol.7	      0.28
Mol.3	Mol.8	      0.06
Mol.3	Mol.9	      0.06
Mol.3	Mol.10	      0.37
Mol.3	Mol.11	      0.27
Mol.4	Mol.1	      0.47
Mol.4	Mol.2	      0.58
Mol.4	Mol.3	      0.64
Mol.4	Mol.4	      1.00
Mol.4	Mol.5	      0.58
Mol.4	Mol.6	      0.33
Mol.4	Mol.7	      0.33
Mol.4	Mol.8	      0.08
Mol.4	Mol.9	      0.08
Mol.4	Mol.10	      0.47
Mol.4	Mol.11	      0.32
Mol.5	Mol.1	      0.42
Mol.5	Mol.2	      0.41
Mol.5	Mol.3	      0.44
Mol.5	Mol.4	      0.58
Mol.5	Mol.5	      1.00
Mol.5	Mol.6	      0.57
Mol.5	Mol.7	      0.43
Mol.5	Mol.8	      0.50
Mol.5	Mol.9	      0.50
Mol.5	Mol.10	      0.42
Mol.5	Mol.11	      0.31
Mol.6	Mol.1	      0.29
Mol.6	Mol.2	      0.27
Mol.6	Mol.3	      0.28
Mol.6	Mol.4	      0.33
Mol.6	Mol.5	      0.57
Mol.6	Mol.6	      1.00
Mol.6	Mol.7	      0.68
Mol.6	Mol.8	      0.29
Mol.6	Mol.9	      0.29
Mol.6	Mol.10	      0.29
Mol.6	Mol.11	      0.23
Mol.7	Mol.1	      0.29
Mol.7	Mol.2	      0.27
Mol.7	Mol.3	      0.28
Mol.7	Mol.4	      0.33
Mol.7	Mol.5	      0.43
Mol.7	Mol.6	      0.68
Mol.7	Mol.7	      1.00
Mol.7	Mol.8	      0.17
Mol.7	Mol.9	      0.17
Mol.7	Mol.10	      0.29
Mol.7	Mol.11	      0.23
Mol.8	Mol.1	      0.11
Mol.8	Mol.2	      0.06
Mol.8	Mol.3	      0.06
Mol.8	Mol.4	      0.08
Mol.8	Mol.5	      0.50
Mol.8	Mol.6	      0.29
Mol.8	Mol.7	      0.17
Mol.8	Mol.8	      1.00
Mol.8	Mol.9	      1.00
Mol.8	Mol.10	      0.11
Mol.8	Mol.11	      0.08
Mol.9	Mol.1	      0.11
Mol.9	Mol.2	      0.06
Mol.9	Mol.3	      0.06
Mol.9	Mol.4	      0.08
Mol.9	Mol.5	      0.50
Mol.9	Mol.6	      0.29
Mol.9	Mol.7	      0.17
Mol.9	Mol.8	      1.00
Mol.9	Mol.9	      1.00
Mol.9	Mol.10	      0.11
Mol.9	Mol.11	      0.08
Mol.10	Mol.1	      0.30
Mol.10	Mol.2	      0.35
Mol.10	Mol.3	      0.37
Mol.10	Mol.4	      0.47
Mol.10	Mol.5	      0.42
Mol.10	Mol.6	      0.29
Mol.10	Mol.7	      0.29
Mol.10	Mol.8	      0.11
Mol.10	Mol.9	      0.11
Mol.10	Mol.10	      1.00
Mol.10	Mol.11	      0.54
Mol.11	Mol.1	      0.23
Mol.11	Mol.2	      0.26
Mol.11	Mol.3	      0.27
Mol.11	Mol.4	      0.32
Mol.11	Mol.5	      0.31
Mol.11	Mol.6	      0.23
Mol.11	Mol.7	      0.23
Mol.11	Mol.8	      0.08
Mol.11	Mol.9	      0.08
Mol.11	Mol.10	      0.54
Mol.11	Mol.11	      1.00
