"Source"	"Target"	"Similarity"
Mol.1	Mol.1	      1.00
Mol.1	Mol.2	      1.00
Mol.1	Mol.3	      1.00
Mol.1	Mol.4	      0.67
Mol.1	Mol.5	      0.07
Mol.1	Mol.6	      0.11
Mol.1	Mol.7	      0.17
Mol.1	Mol.8	      0.07
Mol.1	Mol.9	      0.07
Mol.1	Mol.10	      0.27
Mol.1	Mol.11	      0.17
Mol.2	Mol.1	      1.00
Mol.2	Mol.2	      1.00
Mol.2	Mol.3	      1.00
Mol.2	Mol.4	      0.67
Mol.2	Mol.5	      0.07
Mol.2	Mol.6	      0.11
Mol.2	Mol.7	      0.17
Mol.2	Mol.8	      0.07
Mol.2	Mol.9	      0.07
Mol.2	Mol.10	      0.27
Mol.2	Mol.11	      0.17
Mol.3	Mol.1	      1.00
Mol.3	Mol.2	      1.00
Mol.3	Mol.3	      1.00
Mol.3	Mol.4	      0.67
Mol.3	Mol.5	      0.07
Mol.3	Mol.6	      0.11
Mol.3	Mol.7	      0.17
Mol.3	Mol.8	      0.07
Mol.3	Mol.9	      0.07
Mol.3	Mol.10	      0.27
Mol.3	Mol.11	      0.17
Mol.4	Mol.1	      0.67
Mol.4	Mol.2	      0.67
Mol.4	Mol.3	      0.67
Mol.4	Mol.4	      1.00
Mol.4	Mol.5	      0.09
Mol.4	Mol.6	      0.13
Mol.4	Mol.7	      0.19
Mol.4	Mol.8	      0.09
Mol.4	Mol.9	      0.09
Mol.4	Mol.10	      0.32
Mol.4	Mol.11	      0.19
Mol.5	Mol.1	      0.07
Mol.5	Mol.2	      0.07
Mol.5	Mol.3	      0.07
Mol.5	Mol.4	      0.09
Mol.5	Mol.5	      1.00
Mol.5	Mol.6	      0.29
Mol.5	Mol.7	      0.15
Mol.5	Mol.8	      1.00
Mol.5	Mol.9	      1.00
Mol.5	Mol.10	      0.09
Mol.5	Mol.11	      0.06
Mol.6	Mol.1	      0.11
Mol.6	Mol.2	      0.11
Mol.6	Mol.3	      0.11
Mol.6	Mol.4	      0.13
Mol.6	Mol.5	      0.29
Mol.6	Mol.6	      1.00
Mol.6	Mol.7	      0.31
Mol.6	Mol.8	      0.29
Mol.6	Mol.9	      0.29
Mol.6	Mol.10	      0.18
Mol.6	Mol.11	      0.13
Mol.7	Mol.1	      0.17
Mol.7	Mol.2	      0.17
Mol.7	Mol.3	      0.17
Mol.7	Mol.4	      0.19
Mol.7	Mol.5	      0.15
Mol.7	Mol.6	      0.31
Mol.7	Mol.7	      1.00
Mol.7	Mol.8	      0.15
Mol.7	Mol.9	      0.15
Mol.7	Mol.10	      0.38
Mol.7	Mol.11	      0.27
Mol.8	Mol.1	      0.07
Mol.8	Mol.2	      0.07
Mol.8	Mol.3	      0.07
Mol.8	Mol.4	      0.09
Mol.8	Mol.5	      1.00
Mol.8	Mol.6	      0.29
Mol.8	Mol.7	      0.15
Mol.8	Mol.8	      1.00
Mol.8	Mol.9	      1.00
Mol.8	Mol.10	      0.09
Mol.8	Mol.11	      0.06
Mol.9	Mol.1	      0.07
Mol.9	Mol.2	      0.07
Mol.9	Mol.3	      0.07
Mol.9	Mol.4	      0.09
Mol.9	Mol.5	      1.00
Mol.9	Mol.6	      0.29
Mol.9	Mol.7	      0.15
Mol.9	Mol.8	      1.00
Mol.9	Mol.9	      1.00
Mol.9	Mol.10	      0.09
Mol.9	Mol.11	      0.06
Mol.10	Mol.1	      0.27
Mol.10	Mol.2	      0.27
Mol.10	Mol.3	      0.27
Mol.10	Mol.4	      0.32
Mol.10	Mol.5	      0.09
Mol.10	Mol.6	      0.18
Mol.10	Mol.7	      0.38
Mol.10	Mol.8	      0.09
Mol.10	Mol.9	      0.09
Mol.10	Mol.10	      1.00
Mol.10	Mol.11	      0.55
Mol.11	Mol.1	      0.17
Mol.11	Mol.2	      0.17
Mol.11	Mol.3	      0.17
Mol.11	Mol.4	      0.19
Mol.11	Mol.5	      0.06
Mol.11	Mol.6	      0.13
Mol.11	Mol.7	      0.27
Mol.11	Mol.8	      0.06
Mol.11	Mol.9	      0.06
Mol.11	Mol.10	      0.55
Mol.11	Mol.11	      1.00
