"Source"	"Target"	"Similarity"
Mol.1	Mol.1	      1.00
Mol.1	Mol.2	      0.55
Mol.1	Mol.3	      0.40
Mol.1	Mol.4	      0.25
Mol.1	Mol.5	      0.27
Mol.1	Mol.6	      0.25
Mol.1	Mol.7	      0.23
Mol.1	Mol.8	      0.08
Mol.1	Mol.9	      0.08
Mol.1	Mol.10	      0.20
Mol.1	Mol.11	      0.21
Mol.2	Mol.1	      0.55
Mol.2	Mol.2	      1.00
Mol.2	Mol.3	      0.73
Mol.2	Mol.4	      0.45
Mol.2	Mol.5	      0.36
Mol.2	Mol.6	      0.31
Mol.2	Mol.7	      0.28
Mol.2	Mol.8	      0.06
Mol.2	Mol.9	      0.06
Mol.2	Mol.10	      0.31
Mol.2	Mol.11	      0.24
Mol.3	Mol.1	      0.40
Mol.3	Mol.2	      0.73
Mol.3	Mol.3	      1.00
Mol.3	Mol.4	      0.63
Mol.3	Mol.5	      0.45
Mol.3	Mol.6	      0.38
Mol.3	Mol.7	      0.33
Mol.3	Mol.8	      0.08
Mol.3	Mol.9	      0.08
Mol.3	Mol.10	      0.38
Mol.3	Mol.11	      0.28
Mol.4	Mol.1	      0.25
Mol.4	Mol.2	      0.45
Mol.4	Mol.3	      0.63
Mol.4	Mol.4	      1.00
Mol.4	Mol.5	      0.63
Mol.4	Mol.6	      0.50
Mol.4	Mol.7	      0.42
Mol.4	Mol.8	      0.10
Mol.4	Mol.9	      0.10
Mol.4	Mol.10	      0.50
Mol.4	Mol.11	      0.33
Mol.5	Mol.1	      0.27
Mol.5	Mol.2	      0.36
Mol.5	Mol.3	      0.45
Mol.5	Mol.4	      0.63
Mol.5	Mol.5	      1.00
Mol.5	Mol.6	      0.80
Mol.5	Mol.7	      0.67
Mol.5	Mol.8	      0.40
Mol.5	Mol.9	      0.40
Mol.5	Mol.10	      0.50
Mol.5	Mol.11	      0.35
Mol.6	Mol.1	      0.25
Mol.6	Mol.2	      0.31
Mol.6	Mol.3	      0.38
Mol.6	Mol.4	      0.50
Mol.6	Mol.5	      0.80
Mol.6	Mol.6	      1.00
Mol.6	Mol.7	      0.83
Mol.6	Mol.8	      0.33
Mol.6	Mol.9	      0.33
Mol.6	Mol.10	      0.43
Mol.6	Mol.11	      0.32
Mol.7	Mol.1	      0.23
Mol.7	Mol.2	      0.28
Mol.7	Mol.3	      0.33
Mol.7	Mol.4	      0.42
Mol.7	Mol.5	      0.67
Mol.7	Mol.6	      0.83
Mol.7	Mol.7	      1.00
Mol.7	Mol.8	      0.29
Mol.7	Mol.9	      0.29
Mol.7	Mol.10	      0.38
Mol.7	Mol.11	      0.29
Mol.8	Mol.1	      0.08
Mol.8	Mol.2	      0.06
Mol.8	Mol.3	      0.08
Mol.8	Mol.4	      0.10
Mol.8	Mol.5	      0.40
Mol.8	Mol.6	      0.33
Mol.8	Mol.7	      0.29
Mol.8	Mol.8	      1.00
Mol.8	Mol.9	      1.00
Mol.8	Mol.10	      0.14
Mol.8	Mol.11	      0.11
Mol.9	Mol.1	      0.08
Mol.9	Mol.2	      0.06
Mol.9	Mol.3	      0.08
Mol.9	Mol.4	      0.10
Mol.9	Mol.5	      0.40
Mol.9	Mol.6	      0.33
Mol.9	Mol.7	      0.29
Mol.9	Mol.8	      1.00
Mol.9	Mol.9	      1.00
Mol.9	Mol.10	      0.14
Mol.9	Mol.11	      0.11
Mol.10	Mol.1	      0.20
Mol.10	Mol.2	      0.31
Mol.10	Mol.3	      0.38
Mol.10	Mol.4	      0.50
Mol.10	Mol.5	      0.50
Mol.10	Mol.6	      0.43
Mol.10	Mol.7	      0.38
Mol.10	Mol.8	      0.14
Mol.10	Mol.9	      0.14
Mol.10	Mol.10	      1.00
Mol.10	Mol.11	      0.56
Mol.11	Mol.1	      0.21
Mol.11	Mol.2	      0.24
Mol.11	Mol.3	      0.28
Mol.11	Mol.4	      0.33
Mol.11	Mol.5	      0.35
Mol.11	Mol.6	      0.32
Mol.11	Mol.7	      0.29
Mol.11	Mol.8	      0.11
Mol.11	Mol.9	      0.11
Mol.11	Mol.10	      0.56
Mol.11	Mol.11	      1.00
